NOME;SOBRENOME;EMAIL;TELEFONE_DDI;TELEFONE_DDD;TELEFONE_NUMERO;DATA_NASCIMENTO;CPF;SEXO;EMPRESA;CNPJ;IE;USUÁRIO;RUA;COMPLEMENTO;NÚMERO;BAIRRO;CIDADE;ESTADO;CEP;;;;;;
Goku;Son;goku@email.com;55;11;987654321;05/07/1960;52998224725;M;Z Fighters;4,26307E+13;12345678;goku_user@email.com;Kame House;;1;Smallville;Dragon Ball;SP;23456789;;;;;;
Naruto;Uzumaki;naruto@email.com;55;11;876543210;19/09/1961;85315528145;M;Hokage;6,3226E+13;23456789;naruto_user@email.com;Konoha;Hokage Tower;7;Hidden Leaf;Konoha;HI;23456789;;;;;;
Hermione;Granger;hermione@email.com;55;11;765432109;23/04/1962;41032598760;F;Hogwarts;9,75415E+13;34567890;hermione_user@email.com;Hogwarts;;9;Magic Lane;Hogsmeade;HL;34567890;;;;;;
Luffy;Monkey;luffy@email.com;55;11;654321098;08/11/1963;79146823501;M;Straw Hat Pirates;1,23599E+13;45678901;luffy_user@email.com;Thousand Sunny;;1;East Blue;Grand Line;GL;45678901;;;;;;
Elsa;Frozen;elsa@email.com;55;11;543210987;14/02/1964;62450978392;F;Arendelle;8,74036E+13;56789012;elsa_user@email.com;Ice Palace;;2;Iceberg St;Arendelle;AR;56789012;;;;;;
Harry;Potter;harry@email.com;55;11;432109876;30/06/1965;36587410245;M;Hogwarts;5,46891E+13;67890123;harry_user@email.com;Privet Dr.;Cupboard under the stairs;4;Godric's Hollow;Hogwarts;HO;67890123;;;;;;
Inuyasha;Taisho;inuyasha@email.com;55;11;321098765;17/10/1966;98745632187;M;Feudal Japan;3,09725E+13;78901234;inuyasha_user@email.com;Feudal Japan;;5;Higurashi Shrine;Feudal Japan;FJ;78901234;;;;;;
Leia;Organa;leia@email.com;55;11;210987654;21/03/1967;12345678909;F;Rebel Alliance;7,15837E+13;89012345;leia_user@email.com;Alderaan;;1;Aldera;Alderaan;AL;89012345;;;;;;
Spike;Spiegel;spike@email.com;55;11;109876543;26/09/1968;56789012301;M;Bebop;9,87456E+13;90123456;spike_user@email.com;Bebop;;2;Mars;Sol System;SS;90123456;;;;;;
Sakura;Haruno;sakura@email.com;55;11;998877665;02/01/1969;90123456783;F;Konoha Medics;2,34568E+13;1234567;sakura_user@email.com;Konoha;;4;Hidden Leaf;Konoha;HI;89012345;;;;;;
Pikachu;Electric;pikachu@email.com;55;11;887766554;07/05/1970;23456789023;M;Pallet Town;6,54313E+13;34567891;pikachu_user@email.com;Viridian St;Pallet Town;25;Oak Town;Kanto;KT;34567891;;;;;;
Batman;Wayne;batman@email.com;55;11;776655443;13/08/1971;45678901234;M;Wayne Enterprises;8,90123E+13;45678901;batman_user@email.com;Wayne Manor;Batcave;1;Gotham City;Gotham;GC;45678912;;;;;;
Mulan;Fa;mulan@email.com;55;11;665544332;28/12/1972;67890123456;F;Imperial Army;4,56789E+13;56789012;mulan_user@email.com;Imperial Palace;;8;Mulan's Village;China;CN;56789012;;;;;;
Shrek;Ogre;shrek@email.com;55;11;554433221;03/04/1973;89012345678;M;Swamp Holdings;7,89012E+13;67890123;shrek_user@email.com;Swamp Rd;Ogre's Lair;7;Far Far Away;Duloc;FA;67890123;;;;;;
Belle;Beauty;belle@email.com;55;11;443322110;09/07/1974;12345678990;F;Beast's Castle;3,45679E+13;78901234;belle_user@email.com;Beast's Castle;;1;Villeneuve;France;FR;78901234;;;;;;
Totoro;Forest;totoro@email.com;55;11;332211099;15/10/1975;34567890112;M;Studio Ghibli;6,78901E+13;89012345;totoro_user@email.com;Camphor Tree Rd;;8;Totoro's Forest;Japan;JP;89012345;;;;;;
Rapunzel;Corona;rapunzel@email.com;55;11;221100988;20/02/1976;56789012334;F;Kingdom of Corona;9,01235E+13;90123456;rapunzel_user@email.com;Tower St;Tower Room;1;Corona Village;Corona;CO;90123456;;;;;;
Sherlock;Holmes;sherlock@email.com;55;11;110099877;26/06/1977;89012345656;M;221B Baker Street;1,23457E+13;1234567;sherlock_user@email.com;221B Baker St;;1;London;England;EN;90123456;;;;;;
Nausicaä;Valley;nausicaa@email.com;55;11;889977665;01/11/1978;12345678978;F;Valley of the Wind;5,6789E+13;12345678;nausicaa_user@email.com;Windmill Rd;Windmill Cottage;1;Valley of the Wind;Windyvale;WV;12345678;;;;;;
Aragorn;Elessar;aragorn@email.com;55;11;778866554;07/03/1979;34567890190;M;Kingdom of Gondor;8,90123E+13;23456789;aragorn_user@email.com;Minas Tirith;;1;Gondor;Middleearth;ME;34567891;;;;;;
Gandalf;Grey;gandalf@email.com;55;11;667755443;12/08/1980;56789012301;M;White Council;2,34568E+13;34567891;gandalf_user@email.com;Wizard Rd;Tower;3;Rivendell;Middleearth;ME;34567891;;;;;;
Hermione;Weasley;hermione@email.com;55;11;556644332;18/12/1981;89012345623;F;Weasley's Wizard Wheezes;4,56789E+13;45678901;hermione_user@email.com;Ottery St. Catchpole;Burrow;7;Ottery St. Catchpole;England;EN;45678912;;;;;;
Katara;Waterbender;katara@email.com;55;11;445533221;24/03/1983;12345678945;F;Southern Water Tribe;6,78901E+13;56789012;katara_user@email.com;Southern Water Tribe;;2;Southern Water Tribe;South Pole;SP;56789012;;;;;;
Jack;Sparrow;jack@email.com;55;11;334422110;29/07/1984;34567890167;M;Black Pearl;8,90123E+13;67890123;jack_user@email.com;Port Royal;Tortuga;9;Caribbean;Caribbean;CB;67890123;;;;;;
Nemo;Clownfish;nemo@email.com;55;11;223311099;04/12/1985;56789012389;M;Great Barrier Reef;1,23457E+13;78901234;nemo_user@email.com;Coral Reef;;42;Ocean;Australia;AU;78901234;;;;;;
Mulder;Scully;mulder@email.com;55;11;112200988;10/04/1987;89012345601;M;FBI;3,45679E+13;89012345;mulder_user@email.com;FBI Headquarters;Basement;2;Washington D.C.;USA;US;89012345;;;;;;
Katniss;Everdeen;katniss@email.com;55;11;978751616;15/08/1988;12345678923;F;Rebellion;5,6789E+13;90123456;katniss_user@email.com;District 12;;12;Panem;Panem;PN;89012345;;;;;;
